keyword,canonical_keyword,volume,kd,cpc,topical_silo,primary_entity,entity_type,intent,intent_detail,cluster_label,recommended_page_type,target_live_url,target_local_url,resolved_local_url,page_title,page_id,page_layer,edit_mode,action_taken,coverage_status,coverage_signal,page_word_count,exact_present,canonical_present,entity_present,intent_signal_present,status_code,edit_url,support_key,managed_key,evidence_snippet
mcdonalds vreakfast,mcdonald's food,150,11,0,Brand Core,McDonald's Menu,menu_hub,overview,overview_general,McDonald's Menu - overview general,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
basket of fries mcdonald's price,how much is a small fry at mcdonalds,150,2,0.8,Fries & Sides,World Famous Fries Small,product_variant,commercial,price_value,World Famous Fries Small - price value,item,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-small/,http://localhost/wordpress/menu/fries-sides/world-famous-fries-small/,http://localhost/wordpress/menu/fries-sides/world-famous-fries-small/,World Famous Fries Small Price USA,445,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9542,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=445&action=edit,,sides::world-famous-fries-small,"World Famous Fries Small Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
how many calories does an egg mcmuffin have,sausage egg mcmuffin calories,150,3,0,Breakfast,Egg McMuffin,product_variant,nutrition,nutrition_macros,Egg McMuffin - nutrition macros,item,https://mcdomenuusa.com/menu/breakfast-menu/egg-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/egg-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/egg-mcmuffin/,Egg McMuffin Price USA,373,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9474,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=373&action=edit,,breakfast::egg-mcmuffin,"Egg McMuffin Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's family meal deal,mcdonald's bundle box,150,32,0.8,Value & Deals,Shareables & Bundles,support_page,commercial,price_value,Shareables & Bundles - price value,support,https://mcdomenuusa.com/shareables-bundles/,http://localhost/wordpress/shareables-bundles/,http://localhost/wordpress/shareables-bundles/,Shareables & Bundles,204,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,9911,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=204&action=edit,shareables-bundles,,"eables & Bundles This Shareables & Bundles guide is built for readers searching McDonald’s bundle box, McDonald’s family meal, McDonald’s family box, or dinner box style queries. These searches are less about one item and"
how much is a small milkshake at mcdonald's,mcdonald's ice cream price,150,0,0.54,Sweets & Treats,Sweets & Treats,menu_guide,commercial,price_value,Sweets & Treats - price value,guide,https://mcdomenuusa.com/sweets-treats/,http://localhost/wordpress/sweets-treats/,http://localhost/wordpress/menu/sweets-treats/,Sweets & Treats Prices USA,459,Menu category template,Page editor + theme-rendered semantic layer,Added via category semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9476,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=459&action=edit,,sweets,"Sweets & Treats Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
how many calories is a filet o fish,calories in filet o fish,150,3,0,Chicken & Fish,Filet-O-Fish,product_variant,nutrition,nutrition_macros,Filet-O-Fish - nutrition macros,item,https://mcdomenuusa.com/menu/chicken-fish/filet-o-fish/,http://localhost/wordpress/menu/chicken-fish/filet-o-fish/,http://localhost/wordpress/menu/chicken-fish/filet-o-fish/,Filet-O-Fish Price USA,426,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9510,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=426&action=edit,,chickenfish::filet-o-fish,"Filet-O-Fish Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonalds sausage burrito calories,mcdonald's sausage burrito calories,150,0,0.67,Breakfast,Sausage Burrito,product_variant,nutrition,nutrition_macros,Sausage Burrito - nutrition macros,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-burrito/,http://localhost/wordpress/menu/breakfast-menu/sausage-burrito/,http://localhost/wordpress/menu/breakfast-menu/sausage-burrito/,Sausage Burrito Price USA,396,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9478,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=396&action=edit,,breakfast::sausage-burrito,"Sausage Burrito Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
how many calories are in a sausage biscuit from mcdonald's,mcdonald's sausage biscuit calories,150,1,0.55,Breakfast,Sausage Biscuit,product_variant,nutrition,nutrition_macros,Sausage Biscuit - nutrition macros,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-biscuit/,http://localhost/wordpress/menu/breakfast-menu/sausage-biscuit/,http://localhost/wordpress/menu/breakfast-menu/sausage-biscuit/,Sausage Biscuit Price USA,370,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9475,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=370&action=edit,,breakfast::sausage-biscuit,"Sausage Biscuit Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
how much is big mac meal,big mac meal price,150,57,0.94,Value & Deals,Big Mac Meal,product_variant,commercial,price_value,Big Mac Meal - price value,item,https://mcdomenuusa.com/menu/extra-value-meals/big-mac-meal/,http://localhost/wordpress/menu/extra-value-meals/big-mac-meal/,http://localhost/wordpress/menu/extra-value-meals/big-mac-meal/,Big Mac Meal Price USA,312,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,9540,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=312&action=edit,,meals::big-mac-meal,"Big Mac Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""h"
mcdonald's 1 dollar menu,mcdonald's value menu with prices,150,1,0.26,Value & Deals,Deals & McValue Guide,support_page,commercial,price_value,Deals & McValue Guide - price value,support,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/mcdonalds-deals-mcvalue-guide/,McDonald's Deals & McValue Guide USA,1155,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12522,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1155&action=edit,mcdonalds-deals-mcvalue-guide,,"ost for the actual order you plan to place. Which readers benefit most from the deals and McValue guide? Budget-focused solo diners, families, students, and app users benefit the most because they are usually the readers mo"
sundae mcdonald's,softserve near me,150,0,0.11,Sweets & Treats,Sweets & Treats,menu_guide,overview,overview_general,Sweets & Treats - overview general,guide,https://mcdomenuusa.com/sweets-treats/,http://localhost/wordpress/sweets-treats/,http://localhost/wordpress/menu/sweets-treats/,Sweets & Treats Prices USA,459,Menu category template,Page editor + theme-rendered semantic layer,Added via category semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9476,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=459&action=edit,,sweets,"Sweets & Treats Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
40 nuggets mcdonalds price,40 piece chicken mcnuggets price,150,36,0.27,McNuggets & Strips,40 pc Chicken McNuggets,product_variant,commercial,price_value,40 pc Chicken McNuggets - price value,item,https://mcdomenuusa.com/menu/mcnuggets-strips/40-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/40-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/40-pc-chicken-mcnuggets/,40 pc Chicken McNuggets Price USA,438,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9550,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=438&action=edit,,nuggets::40-pc-chicken-mcnuggets,"40 pc Chicken McNuggets Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
hashbrown calories mcdonald's,mcdonald's hash brown calories,150,0,0.63,Breakfast,Hash Browns,product_variant,nutrition,nutrition_macros,Hash Browns - nutrition macros,item,https://mcdomenuusa.com/menu/breakfast-menu/hash-browns/,http://localhost/wordpress/menu/breakfast-menu/hash-browns/,http://localhost/wordpress/menu/breakfast-menu/hash-browns/,Hash Browns Price USA,398,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9478,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=398&action=edit,,breakfast::hash-browns,"Hash Browns Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonalds iced coffee flavors,mcdonalds iced coffee,150,7,0.2,McCafe Coffees,McCafe Iced Coffee Small,product_variant,overview,overview_menu,McCafe Iced Coffee Small - overview menu,item,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-iced-coffee-small/,http://localhost/wordpress/menu/mccafe-coffees/mccafe-iced-coffee-small/,http://localhost/wordpress/menu/mccafe-coffees/mccafe-iced-coffee-small/,McCafe Iced Coffee Small Price USA,541,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9515,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=541&action=edit,,mccafe::mccafe-iced-coffee-small,"McCafe Iced Coffee Small Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
www.mcdvoice.com survey with receipt,mcdvoice,150,1,0.03,Customer Journey,McDVoice Survey,service_page,service_task,service_survey,McDVoice Survey - service survey,service,https://mcdomenuusa.com/mcdvoice/,http://localhost/wordpress/mcdvoice/,http://localhost/wordpress/mcdvoice/,McDVoice Survey,1432,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,9953,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1432&action=edit,mcdvoice,,"McDVoice Survey | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"""
mcdonald's 50 piece nugget price,how much is a 20 piece chicken nugget at mcdonald's,150,7,0.51,McNuggets & Strips,Chicken McNuggets,product_family,commercial,price_value,Chicken McNuggets - price value,family_section,https://mcdomenuusa.com/nuggets-and-strips/,http://localhost/wordpress/nuggets-and-strips/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9597,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
daily double calories,daily double calories,150,0,0,Burgers,Daily Double,product_variant,nutrition,nutrition_macros,Daily Double - nutrition macros,item,https://mcdomenuusa.com/menu/burgers-menu/daily-double/,http://localhost/wordpress/menu/burgers-menu/daily-double/,http://localhost/wordpress/menu/burgers-menu/daily-double/,Daily Double Price USA,413,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9468,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=413&action=edit,,burgers::daily-double,"ext This Daily Double page works best for readers searching daily double price, daily double calories, or the current Burgers listing without scanning the whole menu first. Right now the tracked reference shows $4.39 and "
how much is a 10 piece chicken nugget at mcdonald's,how much is a 20 piece chicken nugget at mcdonald's,150,17,0.66,McNuggets & Strips,Chicken McNuggets,product_family,commercial,price_value,Chicken McNuggets - price value,family_section,https://mcdomenuusa.com/nuggets-and-strips/,http://localhost/wordpress/nuggets-and-strips/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9597,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
sausage mcmuffin carbs,sausage mcmuffin calories,150,0,0.66,Breakfast,Sausage McMuffin,product_variant,nutrition,nutrition_macros,Sausage McMuffin - nutrition macros,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/sausage-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/sausage-mcmuffin/,Sausage McMuffin Price USA,374,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,9474,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=374&action=edit,,breakfast::sausage-mcmuffin," Sausage McMuffin page works best for readers searching sausage mcmuffin price, sausage mcmuffin calories, or the current Breakfast listing without scanning the whole menu first. Right now the tracked reference shows $2.99 an"
mcdonald's steak bagel price,mcdonald's steak bagel price,150,0,0,Breakfast,Bagel,product_variant,commercial,price_value,Bagel - price value,item,https://mcdomenuusa.com/menu/breakfast-menu/bagel/,http://localhost/wordpress/menu/breakfast-menu/bagel/,http://localhost/wordpress/menu/breakfast-menu/bagel-plain/,Bagel Price USA,1299,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9423,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1299&action=edit,,breakfast::bagel-plain,"Bagel Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
how many ingredients are in the mcrib,mcrib ingredients list,150,10,0.02,Limited Time,McRib,product_family,nutrition,nutrition_ingredients,McRib - nutrition ingredients,family_section,https://mcdomenuusa.com/limited-time-menu/,http://localhost/wordpress/limited-time-menu/,http://localhost/wordpress/limited-time-menu/,Limited-Time Menu,123,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9938,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=123&action=edit,limited-time-menu,,"aders are usually asking whether a returning favorite such as Shamrock Shake or McRib is back, what it costs this year, how the calories compare, and whether the item is nationally available or only showin"
burgers at mcdonald's,burgers at mcdonald's,150,46,2.8,Burgers,Burgers Menu,menu_guide,overview,overview_general,Burgers Menu - overview general,guide,https://mcdomenuusa.com/burgers-menu/,http://localhost/wordpress/burgers-menu/,http://localhost/wordpress/burgers-menu/,McDonald's Burgers Menu Prices USA,193,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12406,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=193&action=edit,burgers-menu,,"McDonald’s Burgers Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
how much sodium is in a mcchicken,mcchicken calories,150,0,0,Chicken & Fish,McChicken,product_variant,nutrition,nutrition_macros,McChicken - nutrition macros,item,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,McChicken Price USA,428,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,9458,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=428&action=edit,,chickenfish::mcchicken,"g context This McChicken page works best for readers searching mcchicken price, mcchicken calories, or the current Chicken & Fish listing without scanning the whole menu first. Right now the tracked reference shows $3."
mcgriddle meal,mcgriddle meal,150,0,0.59,Breakfast,McGriddle,product_family,overview,overview_menu,McGriddle - overview menu,family_section,https://mcdomenuusa.com/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,http://localhost/wordpress/menu/extra-value-meals/sausage-mcgriddles-meal/,Sausage McGriddles Meal Price USA,305,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9535,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=305&action=edit,,meals::sausage-mcgriddles-meal,"Sausage McGriddles Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organizatio"
mcdonalds shake price,mcdonald's menu with prices 2025,150,56,0.16,Brand Core,McDonald's Menu,menu_hub,commercial,price_value,McDonald's Menu - price value,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
20 mcnuggets protein,mcdonald's chicken nuggets calories,150,0,0.58,Value & Deals,Chicken McNuggets,product_family,nutrition,nutrition_macros,Chicken McNuggets - nutrition macros,family_section,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9597,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
egg mcmuffin mcdonalds,sausage egg mcmuffin,150,36,0.53,Breakfast,Egg McMuffin,product_variant,overview,overview_general,Egg McMuffin - overview general,item,https://mcdomenuusa.com/menu/breakfast-menu/egg-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/egg-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/egg-mcmuffin/,Egg McMuffin Price USA,373,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9474,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=373&action=edit,,breakfast::egg-mcmuffin,"Egg McMuffin Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's menue,mcdonald's food,150,58,0.09,Brand Core,McDonald's Menu,menu_hub,overview,overview_general,McDonald's Menu - overview general,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
mcdonalds ice cream sundae,softserve near me,150,0,0.24,Sweets & Treats,Sweets & Treats,menu_guide,overview,overview_general,Sweets & Treats - overview general,guide,https://mcdomenuusa.com/sweets-treats/,http://localhost/wordpress/sweets-treats/,http://localhost/wordpress/menu/sweets-treats/,Sweets & Treats Prices USA,459,Menu category template,Page editor + theme-rendered semantic layer,Added via category semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9476,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=459&action=edit,,sweets,"Sweets & Treats Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
how many calories are in a large coke from mcdonald's,mcdonald's large coke calories,150,0,0.68,Beverages,Soft Drink Small,product_variant,nutrition,nutrition_macros,Soft Drink Small - nutrition macros,item,https://mcdomenuusa.com/menu/beverages-drinks/soft-drink-small/,http://localhost/wordpress/menu/beverages-drinks/soft-drink-small/,http://localhost/wordpress/menu/beverages-drinks/soft-drink-small/,Soft Drink Small Price USA,589,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9539,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=589&action=edit,,beverages::soft-drink-small,"Soft Drink Small Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mccripsy,mcdonald's food,150,10,0,Brand Core,McDonald's Menu,menu_hub,overview,overview_general,McDonald's Menu - overview general,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
10 piece chicken mcnuggets meal calories,10 piece chicken mcnuggets calories,150,1,0.41,McNuggets & Strips,10 pc Chicken McNuggets,product_variant,nutrition,nutrition_macros,10 pc Chicken McNuggets - nutrition macros,item,https://mcdomenuusa.com/menu/mcnuggets-strips/10-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/10-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/10-pc-chicken-mcnuggets/,10 pc Chicken McNuggets Price USA,436,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9548,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=436&action=edit,,nuggets::10-pc-chicken-mcnuggets,"10 pc Chicken McNuggets Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonalds box meals,dinner box mcdonalds,150,8,0.8,Value & Deals,Shareables & Bundles,support_page,overview,overview_general,Shareables & Bundles - overview general,support,https://mcdomenuusa.com/shareables-bundles/,http://localhost/wordpress/shareables-bundles/,http://localhost/wordpress/shareables-bundles/,Shareables & Bundles,204,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9911,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=204&action=edit,shareables-bundles,,"Shareables & Bundles | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http:"
how much is mcflurry,how much is a mcflurry,150,34,0.8,Sweets & Treats,OREO McFlurry,product_variant,commercial,price_value,OREO McFlurry - price value,item,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/,http://localhost/wordpress/menu/sweets-treats/oreo-mcflurry/,http://localhost/wordpress/menu/sweets-treats/oreo-mcflurry-regular/,OREO McFlurry Price USA,1305,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9412,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1305&action=edit,,sweets::oreo-mcflurry-regular,"OREO McFlurry Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's foods,mcdonald's food,150,59,1.92,Brand Core,McDonald's Menu,menu_hub,overview,overview_general,McDonald's Menu - overview general,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
mcdonald chocolate chip cookies,mcdonald's chocolate chip cookies,150,0,0,Sweets & Treats,Chocolate Chip Cookies,product_variant,overview,overview_general,Chocolate Chip Cookies - overview general,item,https://mcdomenuusa.com/menu/sweets-treats/chocolate-chip-cookies/,http://localhost/wordpress/menu/sweets-treats/chocolate-chip-cookies/,http://localhost/wordpress/menu/sweets-treats/chocolate-chip-cookies-2-pack/,Chocolate Chip Cookies Price USA,1383,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9461,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1383&action=edit,,sweets::chocolate-chip-cookies-2-pack,"Chocolate Chip Cookies Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
